participant	gender	age	handedness	block_num	trial_num	practicing	mask_type	mask_size	background	figure	d_orientation	rt	response	initial_fixation
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	8	False	peripheral	6	square	figure	180	1.29890298843	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	9	False	central	8	circle	figure	0	1.49892401695	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	10	False	central	8	square	background	180	2.11306786537	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	11	False	central	8	circle	background	270	1.55827593803	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	12	False	central	6	circle	background	180	1.06009602547	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	13	False	central	6	square	background	90	0.615808010101	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	14	False	peripheral	8	circle	figure	0	0.683949947357	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	15	False	central	6	square	figure	270	1.08839416504	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	16	False	central	6	circle	figure	0	1.78689193726	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	17	False	central	4	circle	figure	90	0.840272903442	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	18	False	peripheral	4	circle	figure	270	1.17699480057	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	19	False	peripheral	6	circle	figure	180	0.827445030212	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	20	False	peripheral	6	circle	background	180	1.59629917145	CIRCLE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	21	False	central	4	square	background	0	1.12648701668	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	22	False	peripheral	4	circle	background	90	1.82848095894	CIRCLE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	23	False	peripheral	6	square	background	180	0.704192876816	SQUARE	BOTTOM
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	24	False	peripheral	4	square	background	270	0.90978717804	SQUARE	TOP
6b0d31c0d563223024da45691584643ac78c96e8	m	12	r	0	1	False	peripheral	4	square	figure	0	0.809509992599	SQUARE	BOTTOM
